CNA,ErrorCode,ErrorName,ErrorCount
Zscaler,E007,check-invalid-version-string,7
Zscaler,E008,check-invalid-vendor-string,4
Zscaler,E009,check-invalid-product-string,3
Zyxel,E004,check-leading-trailing-space,8
Zyxel,E007,check-invalid-version-string,367
adobe,E002,check-duplicate-reference-url,54
adobe,E004,check-leading-trailing-space,4
adobe,E007,check-invalid-version-string,3926
adobe,E008,check-invalid-vendor-string,2535
adobe,E009,check-invalid-product-string,1875
airbus,E007,check-invalid-version-string,28
alibaba,E008,check-invalid-vendor-string,1
apache,E002,check-duplicate-reference-url,42
apache,E004,check-leading-trailing-space,160
apache,E006,check-affected-product-present,1
apache,E007,check-invalid-version-string,1209
apache,E008,check-invalid-vendor-string,142
apache,E009,check-invalid-product-string,3
apple,E002,check-duplicate-reference-url,2
apple,E007,check-invalid-version-string,4855
apple,E008,check-invalid-vendor-string,3082
apple,E009,check-invalid-product-string,2894
atlassian,E004,check-leading-trailing-space,1
atlassian,E007,check-invalid-version-string,754
atlassian,E008,check-invalid-vendor-string,3
atlassian,E009,check-invalid-product-string,3
autodesk,E004,check-leading-trailing-space,9
autodesk,E007,check-invalid-version-string,91
autodesk,E008,check-invalid-vendor-string,132
avaya,E004,check-leading-trailing-space,1
avaya,E007,check-invalid-version-string,12
avaya,E008,check-invalid-vendor-string,1
avaya,E009,check-invalid-product-string,1
blackberry,E004,check-leading-trailing-space,5
blackberry,E007,check-invalid-version-string,57
blackberry,E008,check-invalid-vendor-string,24
blackberry,E009,check-invalid-product-string,9
bosch,E007,check-invalid-version-string,1022
bosch,E008,check-invalid-vendor-string,1
bosch,E009,check-invalid-product-string,1
brocade,E004,check-leading-trailing-space,24
brocade,E006,check-affected-product-present,1
brocade,E007,check-invalid-version-string,151
brocade,E008,check-invalid-vendor-string,59
ca,E007,check-invalid-version-string,47
ca,E008,check-invalid-vendor-string,25
ca,E009,check-invalid-product-string,1
canonical,E002,check-duplicate-reference-url,1
canonical,E004,check-leading-trailing-space,2
canonical,E006,check-affected-product-present,7
canonical,E007,check-invalid-version-string,323
canonical,E008,check-invalid-vendor-string,173
canonical,E009,check-invalid-product-string,160
canonical,E010,check-invalid-self-references,35
certcc,E002,check-duplicate-reference-url,47
certcc,E004,check-leading-trailing-space,1
certcc,E006,check-affected-product-present,4
certcc,E007,check-invalid-version-string,2684
certcc,E008,check-invalid-vendor-string,2540
certcc,E009,check-invalid-product-string,2472
checkpoint,E007,check-invalid-version-string,88
checkpoint,E008,check-invalid-vendor-string,46
cisa-cg,E004,check-leading-trailing-space,15
cisa-cg,E007,check-invalid-version-string,27
cisa-cg,E010,check-invalid-self-references,2
cisco,E002,check-duplicate-reference-url,1
cisco,E004,check-leading-trailing-space,13
cisco,E006,check-affected-product-present,1
cisco,E007,check-invalid-version-string,66256
cisco,E008,check-invalid-vendor-string,2958
cisco,E009,check-invalid-product-string,2146
cloudflare,E004,check-leading-trailing-space,29
cloudflare,E007,check-invalid-version-string,10
